module_code,word,phonetic,meaning,example
"cet4","a","/ə; eɪ | ə; e/","art. 一(个)；每一(个)","We have a problem."
"cet4","abandon","/ə'bænd(ə)n | ə'bændən/","v. 丢弃；放弃，抛弃","How could she abandon her own child?"
"cet4","ability","/ə'biliti | ə'bɪlɪtɪ | ə'bɪləti/","n. 能力；能耐，本领","The test measures your mathematical ability."
"cet4","able","/'eibl | 'eɪb(ə)l | 'ebl/","adj. 有能力的；出色的","one of my more able students"
"cet4","abnormal","/æb'nɔ:məl | æb'nɔːml | æbˈnɔːrml/","adj. 不正常的；变态的","abnormal behaviour"
"cet4","aboard","/ə'bɔ:d | ə'bɔːd | ə'bɔrd/","adv. 在船(车)上；上船","The plane crashed, killing all 200 people aboard."
"cet4","about","/ə'baut | ə'baʊt/","prep. 关于；在…周围","a book about politics"
"cet4","above","/ə'bʌv/","prep. 在…上面；高于","He lived in a flat above the shop."
"cet4","abroad","/ə'brɔ:d | ə'brɔːd | ə'brɔd/","adv. (在)国外；到处","I’ve never lived abroad before."
"cet4","abruptly","/ə'brʌptli | ə'brʌptlɪ/","adv. 突然地","The path ends off abruptly."
"cet4","absence","/'æbsəns | 'æbs(ə)ns | 'æbsns/","n. 缺席，不在场；缺乏","In the absence of any evidence, the police had to let Myers go."
"cet4","absent","/'æbsənt, æb'sent | 'æbs(ə)nt | ˈæbsənt/","adj. 缺席的","He has been absent from his desk for two weeks."
"cet4","absolute","/'æbsəlju:t, ,æbsə'lju:t | 'æbsəluːt | 'æbsəlut/","adj. 绝对的；纯粹的","Some of the stuff on TV is absolute rubbish."
"cet4","absolutely","/'æbsəlju:tli, ,æbsə'lju:tli | 'æbsəluːtlɪ | 'æbsəlutli/","adv. 完全地；绝对地","He made his reasons for resigning absolutely clear."
"cet4","absorb","/əb'sɔ:b, -'zɔ:b | əb'sɔ:b | æbˈsɔrb; æbˈzɔrb; əbˈsɔrb/","v. 吸收（液体、气体等）","Plants absorb nutrients from the soil."
"cet4","abstract","/ˈæbstrækt | 'æbstrækt/","adj. 抽象的","By the age of seven, children are capable of thinking in abstract terms ."
"cet4","abundant","/ə'bʌndənt/","adj. 大量的，丰富的","an abundant supply of fresh water"
"cet4","abuse","/ə'bju:z, ə'bju:s | ə'bjuːz | ə'bjus/","v. 滥用，虐待","Williams abused his position as Mayor to give jobs to his friends."
"cet4","academic","/,ækə'demik | ,ækə'dɛmɪk/","adj. 学校(院)的，学术的","He possessed no academic qualifications."
"cet4","academy","/ə'kædəmi | ə'kædəmɪ/","n. 私立中学；专科院校","a military academy"
